period,repo_usd_million,gross_override,encajes_override,swap_override,ooii_override,note
2023-12-01,1917.63,,,,,Retroproyección del primer saldo oficial recuperado; se mantiene constante hasta junio de 2024
2024-06-30,1917.63,,,,,Planilla BCRA-FMI sección II.3
2024-07-31,1932.14,,,,,Planilla BCRA-FMI sección II.3
2024-08-31,1943.03,,,,,Planilla BCRA-FMI sección II.3
2024-09-30,1953.33,,,,,Planilla BCRA-FMI sección II.3
2024-10-31,1958.31,,,,,Planilla BCRA-FMI sección II.3
2024-11-30,1965.34,,,,,Planilla BCRA-FMI sección II.3
2024-12-31,1973.67,,,,,Planilla BCRA-FMI sección II.3
2025-01-31,2072.89,,,,,Planilla BCRA-FMI sección II.3
2025-02-28,2079.82,,,,,Planilla BCRA-FMI sección II.3
2025-03-31,2093.93,,,,,Planilla BCRA-FMI sección II.3
2025-04-30,2101.17,,,,,Planilla BCRA-FMI sección II.3
2025-05-31,2105.88,,,,,Planilla BCRA-FMI sección II.3
2025-06-30,2267.30,,,,,Planilla BCRA-FMI sección II.3
2025-07-31,2278.04,,,,,Planilla BCRA-FMI sección II.3
2025-08-31,2286.66,,,,,Planilla BCRA-FMI sección II.3
2025-09-30,2290.04,,,,,Planilla BCRA-FMI sección II.3
2025-10-31,3293.83,,,,,Planilla BCRA-FMI sección II.3
2025-11-30,3287.70,,,,,Planilla BCRA-FMI sección II.3
2025-12-31,3290.43,,,,,Planilla BCRA-FMI sección II.3
2026-01-31,7503.46,,,,,Planilla BCRA-FMI sección II.3
2026-02-28,7497.83,,,,,Planilla BCRA-FMI sección II.3
2026-03-31,7495.47,,,,,Planilla BCRA-FMI sección II.3
2026-04-30,8400.84,,,,,Planilla BCRA-FMI sección II.3
2026-05-31,8384.84,,,,,Planilla BCRA-FMI sección II.3
2026-06-30,8385,44873,12335,19143,120,Punto de control publicado por Federico Machado
2026-07-17,2385,48784,16526,19180,123,Punto de control publicado por Federico Machado
